"Song Title","Artist","Genre","Profanity Lines","Sentiment Annotation"
"fukumean","gunna","hiphop","im about to pour up some syrup 
FUCKING this BITCH like a perv 
smack from the back grab her perm ",""
"fukumean","gunna","hiphop","ice the burr uh shittin on all you lil turds 
cant take that DICK wait your turn 
in my own lane we cant merge ",""
"fukumean","gunna","hiphop","and i aint smokin no sherm 
im in this BITCH with p litty 
qp qpski ",""
"fukumean","gunna","hiphop","qp qpski 
all of my BITCHES is pretty they showin they TITTIES its up to the ceilin 
i let her run through a million i rock with her really lets fuck on a billion ",""
"fukumean","gunna","hiphop","qp qpski 
all of my BITCHES is pretty they showin they TITTIES its up to the ceilin 
i let her run through a million i rock with her really lets fuck on a billion ",""
"fukumean","gunna","hiphop","all of my bitches is pretty they showin they titties its up to the ceilin 
i let her run through a million i rock with her really lets FUCK on a billion 
ima get down to the gritty then fuck up the city the home of the villains ",""
"fukumean","gunna","hiphop","i let her run through a million i rock with her really lets fuck on a billion 
ima get down to the gritty then FUCK up the city the home of the villains 
ecstasy wonderful feelin ",""
"fukumean","gunna","hiphop","get rich my only decision 
FUCK you mean 
young gunna wunna back callin me splurge ",""
"fukumean","gunna","hiphop","keep me a stick if they purge 
FUCK you mean 
fuck you mean ",""
"fukumean","gunna","hiphop","fuck you mean 
FUCK you mean 
yeah ",""
"thenextepisode","drdre","hiphop","ladadadadah 
its the MOTHERFUCKIN dodoubleg snoop dogg 
ladadadadah ",""
"thenextepisode","drdre","hiphop","yeah yeah yeah 
you know whos back up in this MOTHERFUCKER 
what what what what ",""
"thenextepisode","drdre","hiphop","so blaze the weed up then blaze it up blaze it up 
just blaze that SHIT up NIGGA 
yeah sup snoop ",""
"thenextepisode","drdre","hiphop","so blaze the weed up then blaze it up blaze it up 
just blaze that SHIT up NIGGA 
yeah sup snoop ",""
"thenextepisode","drdre","hiphop","yeah sup snoop 
top dogg bite em all NIGGA burn the SHIT up 
dpgc my nigga turn that shit up ",""
"thenextepisode","drdre","hiphop","yeah sup snoop 
top dogg bite em all NIGGA burn the SHIT up 
dpgc my nigga turn that shit up ",""
"thenextepisode","drdre","hiphop","top dogg bite em all nigga burn the shit up 
dpgc my NIGGA turn that SHIT up 
cpt lbc yeah we hookin back up ",""
"thenextepisode","drdre","hiphop","top dogg bite em all nigga burn the shit up 
dpgc my NIGGA turn that SHIT up 
cpt lbc yeah we hookin back up ",""
"thenextepisode","drdre","hiphop","and when they bang this in the club baby you got to get up 
thug NIGGAS drug dealers yeah they givin it up 
lowlife yo life boy we livin it up ",""
"thenextepisode","drdre","hiphop","slipped my ho a fortyfo when she got in the back do 
BITCHES lookin at me strange but you know i dont care 
step up in this motherfucker just aswangin my hair ",""
"thenextepisode","drdre","hiphop","bitches lookin at me strange but you know i dont care 
step up in this MOTHERFUCKER just aswangin my hair 
bitch quit talkin crip walk if you down with the set ",""
"thenextepisode","drdre","hiphop","step up in this motherfucker just aswangin my hair 
BITCH quit talkin crip walk if you down with the set 
take a bullet with some dick and take this dope on this jet ",""
"thenextepisode","drdre","hiphop","bitch quit talkin crip walk if you down with the set 
take a bullet with some DICK and take this dope on this jet 
out of town put it down for the father of rap ",""
"thenextepisode","drdre","hiphop","out of town put it down for the father of rap 
and if yo ASS get cracked BITCH shut yo trap 
come back get back thats the part of success ",""
"thenextepisode","drdre","hiphop","out of town put it down for the father of rap 
and if yo ASS get cracked BITCH shut yo trap 
come back get back thats the part of success ",""
"thenextepisode","drdre","hiphop","ladadadadah 
its the MOTHERFUCKIN dre dr dre MOTHERFUCKER 
what what what what ",""
"thenextepisode","drdre","hiphop","ladadadadah 
its the MOTHERFUCKIN dre dr dre MOTHERFUCKER 
what what what what ",""
"thenextepisode","drdre","hiphop","you know im mobbin with the dodoubleg 
straight off the FUCKIN streets of cpt 
king of the beats you ride to em in your fleet fleetwood ",""
"thenextepisode","drdre","hiphop","or coupe deville rollin on dubs 
how you feel whoopty whoop NIGGA what 
dre and snoop chronicd out in the lac in the lac ",""
"thenextepisode","drdre","hiphop","south central out to the west side west sideits california love 
this california bud got a NIGGA gang of pub 
im on one i might bail up in the century club ",""
"thenextepisode","drdre","hiphop","get my drink on and my smoke on 
then go home with somethin to poke on sup BITCH 
loc its on for the twotripleoh ",""
"thenextepisode","drdre","hiphop","hold up hey 
for my NIGGAS who be thinkin we soft we dont play 
we gon rock it til the wheels fall off ",""
"thenextepisode","drdre","hiphop","hold up hey 
for my NIGGAS who be actin too bold take a seat 
hope you ready for the next episode ",""
"seeyouagain","wizkhalifa","hiphop"," wiz khalifa 
DAMN who knew 
all the planes we flew good things we been through ",""
"everybody","nickiminaj","hiphop","mm 
aint gang if you let SHIT slide 
aint bad if you gotta dick ride ",""
"everybody","nickiminaj","hiphop","aint gang if you let shit slide 
aint bad if you gotta DICK ride 
big guns and a lot of zip ties ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","these bitches fuck everybody 
a NIGGA tellin on everybody 
oh move your feet and feel u ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
